m3u_name,provider_id,matched_epg_channel_id,epg_display_names,match_strategy,uses_placeholder_epg
V Film Family DK [Multi-Sub],19482,viasatfamily.dk,V Film Family HD DK,"norm match (multi, chose dk)",
V Film Family HD DK,321278,viasatfamily.dk,V Film Family HD DK,"norm match (multi, chose dk)",
V Film Hits HD DK,319710,viasathits.dk,V Film Hits HD DK,"norm match (multi, chose dk)",
V Film Hits FHD DK [Multi-Sub],19480,viasathits.dk,V Film Hits HD DK,"norm match (multi, chose dk)",
V Film Premiere HD DK,19541,viasatfilmpremiere.dk,V Film Premiere FHD DK [Multi-Sub],"norm match (multi, chose dk)",
V Film Premiere FHD DK [Multi-Sub],321270,viasatfilmpremiere.dk,V Film Premiere FHD DK [Multi-Sub],"norm match (multi, chose dk)",
V Series HD DK,321288,viasatseries.dk,V Series FHD DK [Multi-Sub],"norm match (multi, chose dk)",
V Series FHD DK [Multi-Sub],631807,viasatseries.dk,V Series FHD DK [Multi-Sub],"norm match (multi, chose dk)",
Viasat History HD DK,19540,viasathistory.dk,Viasat History FHD DK [Multi-Sub],"norm match (multi, chose dk)",
Viasat History FHD DK [Multi-Sub],774459,viasathistory.dk,Viasat History FHD DK [Multi-Sub],"norm match (multi, chose dk)",
Viasat Explorer HD DK,51551,viasatexplore.dk,Viasat Explorer FHD DK [Multi-Sub],"norm match (multi, chose dk)",
Viasat Explorer FHD DK [Multi-Sub],774460,viasatexplore.dk,Viasat Explorer FHD DK [Multi-Sub],"norm match (multi, chose dk)",
Viasat Nature HD DK,41317,viasatnature.dk,Viasat Nature FHD DK [Multi-Sub],"norm match (multi, chose dk)",
Viasat Nature FHD DK [Multi-Sub],774461,viasatnature.dk,Viasat Nature FHD DK [Multi-Sub],"norm match (multi, chose dk)",
